name,rating,genre,year,released,score,votes,director,writer,star,country,budget,gross,company,runtime,month,successful,condition_1,genre_encoded,company_encoded,director_encoded,writer_encoded,star_encoded,country_encoded,month_converted,season,runtime_range,rating_converted,profit,director_score,company_score,genre_score,star_score,writer_score
3 Ninjas: Knuckle Up,PG-13,Action,1993,"April 7, 1995 (United States)",4.3,5400.0,Sang-ok Shin,Alex S. Kim,Victor Wong,United States,0.0,413479.0,Sheen Productions,85.0,April,1,True,0,2056,2490,119,2713,55,4,Winter,Short,PG-13,413479.0,1,1,5,1,1
Father Hood,PG-13,Adventure,1993,"August 27, 1993 (United States)",4.9,2900.0,Darrell Roodt,Scott Spencer,Patrick Swayze,United States,0.0,3418141.0,Hollywood Pictures,95.0,August,1,True,1,1276,593,3874,2072,55,8,Winter,Medium,PG-13,3418141.0,1,5,5,5,1
"Faraway, So Close!",PG-13,Drama,1993,"December 21, 1993 (United States)",7.3,7800.0,Wim Wenders,Wim Wenders,Otto Sander,Germany,10500000.0,810455.0,Road Movies Filmproduktion,140.0,December,0,False,6,1976,2905,4490,2045,15,12,Winter,Long,PG-13,-9689545.0,0,0,5,0,5
Dangerous Game,R,Drama,1993,"November 19, 1993 (United States)",5.6,3600.0,Abel Ferrara,Nicholas St. John,Harvey Keitel,Italy,10000000.0,1261210.0,Cecchi Gori Europa N.V.,108.0,November,0,False,6,606,10,3155,966,25,11,Winter,Medium,R,-8738790.0,0,0,5,0,0
Deadfall,R,Crime,1993,"October 8, 1993 (United States)",4.0,3000.0,Christopher Coppola,Christopher Coppola,Michael Biehn,United States,10000000.0,18369.0,Trimark Pictures,98.0,October,0,False,5,2243,472,730,1848,55,10,Winter,Medium,R,-9981631.0,0,1,5,0,0
A Home of Our Own,PG,Biography,1993,"November 5, 1993 (United States)",7.1,3000.0,Tony Bill,Patrick Sheane Duncan,Kathy Bates,United States,12000000.0,1677807.0,A&M Films,104.0,November,0,False,3,51,2810,3278,1450,55,11,Winter,Medium,PG,-10322193.0,0,1,5,5,5
A Far Off Place,PG,Adventure,1993,"March 12, 1993 (United States)",6.6,3400.0,Mikael Salomon,Lourens van der Post,Reese Witherspoon,United States,0.0,12890752.0,Walt Disney Pictures,108.0,March,1,True,1,2315,1962,2652,2191,55,3,Winter,Medium,PG,12890752.0,0,5,5,5,1
Guilty as Sin,R,Crime,1993,"June 4, 1993 (United States)",5.6,4900.0,Sidney Lumet,Larry Cohen,Rebecca De Mornay,United States,12000000.0,22866222.0,Hollywood Pictures,107.0,June,0,False,5,1276,2559,2516,2184,55,6,Winter,Medium,R,10866222.0,5,5,5,1,5
The Wedding Banquet,R,Comedy,1993,"August 4, 1993 (United States)",7.6,14000.0,Ang Lee,Ang Lee,Winston Chao,Taiwan,1000000.0,6933459.0,Ang Lee Productions,106.0,August,1,True,4,188,141,238,2775,50,8,Winter,Medium,R,5933459.0,5,1,5,1,1
Another Stakeout,PG-13,Comedy,1993,"July 23, 1993 (United States)",5.6,13000.0,John Badham,Jim Kouf,Richard Dreyfuss,United States,0.0,20208496.0,Touchstone Pictures,108.0,July,1,True,4,2230,1364,2013,2206,55,7,Winter,Medium,PG-13,20208496.0,5,5,5,5,5
Aspen Extreme,PG-13,Drama,1993,"January 22, 1993 (United States)",6.0,2800.0,Patrick Hasburgh,Patrick Hasburgh,Paul Gross,United States,14000000.0,8041049.0,Hollywood Pictures,113.0,January,0,False,6,1276,2114,3266,2080,55,1,Winter,Medium,PG-13,-5958951.0,0,5,5,0,0
Suture,Not Rated,Drama,1993,"August 24, 1994 (France)",6.6,1800.0,Scott McGehee,Scott McGehee,Dennis Haysbert,United States,0.0,102780.0,Kino Korsakoff,96.0,August,1,True,6,1427,2510,3866,635,55,8,Winter,Medium,Unkown,102780.0,1,1,5,1,1
Blink,R,Crime,1993,"January 26, 1994 (United States)",6.2,8000.0,Michael Apted,Dana Stevens,Madeleine Stowe,United States,11000000.0,16696219.0,New Line Cinema,106.0,January,0,False,5,1711,1883,865,1699,55,1,Winter,Medium,R,5696219.0,5,5,5,0,5
Where the Rivers Flow North,PG-13,Drama,1993,"March 4, 1994 (United States)",6.7,464.0,Jay Craven,Howard Frank Mosher,Rip Torn,United States,0.0,595505.0,Caledonia Pictures,106.0,March,1,True,6,542,1220,1666,2225,55,3,Winter,Medium,PG-13,595505.0,1,1,5,1,1
Sugar Hill,R,Crime,1993,"February 25, 1994 (United States)",5.9,4300.0,Leon Ichaso,Barry Michael Cooper,Wesley Snipes,United States,10000000.0,18225518.0,Beacon Communications,123.0,February,0,False,5,364,1683,363,2747,55,2,Winter,Long,R,8225518.0,1,5,5,5,1
Man's Best Friend,R,Comedy,1993,"November 19, 1993 (United States)",5.2,4100.0,John Lafia,John Lafia,Ally Sheedy,United States,6000000.0,12974636.0,New Line Cinema,87.0,November,1,True,4,1711,1411,2155,88,55,11,Winter,Short,R,6974636.0,1,5,5,1,1
Mr. Jones,R,Drama,1993,"October 8, 1993 (United States)",5.8,6900.0,Mike Figgis,Eric Roth,Richard Gere,United States,25000000.0,8345845.0,Rastar Productions,114.0,October,0,False,6,1934,1967,1298,2209,55,10,Winter,Medium,R,-16654155.0,1,0,5,5,5
Carnosaur,R,Horror,1993,"May 21, 1993 (United States)",3.6,3700.0,Adam Simon,John Brosnan,Diane Ladd,United States,850000.0,1753979.0,New Horizons Picture,83.0,May,1,True,10,1710,22,2089,652,55,5,Winter,Short,R,903979.0,1,1,5,1,1
Mr. Wonderful,PG-13,Comedy,1993,"October 15, 1993 (United States)",5.9,3200.0,Anthony Minghella,Amy Schor Ferris,Matt Dillon,United States,13000000.0,3125424.0,Night Life Inc.,98.0,October,0,False,4,1727,160,171,1789,55,10,Winter,Medium,PG-13,-9874576.0,5,1,5,1,0
Cop & ½,PG,Comedy,1993,"April 2, 1993 (United States)",4.1,8300.0,Henry Winkler,Arne Olsen,Burt Reynolds,United States,14000000.0,40689691.0,Imagine Films Entertainment,97.0,April,1,True,4,1317,1071,311,342,55,4,Winter,Medium,PG,26689691.0,1,5,5,5,1
Madadayo,Unknown,Drama,1993,"April 17, 1993 (Japan)",7.3,5100.0,Akira Kurosawa,Ishirô Honda,Tatsuo Matsumura,Japan,11900000.0,596.0,DENTSU Music And Entertainment,134.0,April,0,False,6,795,33,1718,2561,27,4,Winter,Long,Unkown,-11899404.0,0,5,5,0,5
Caro diario,Unrated,Biography,1993,"September 30, 1994 (United States)",7.3,7400.0,Nanni Moretti,Nanni Moretti,Nanni Moretti,Italy,0.0,225278.0,Sacher Film,100.0,September,1,True,3,2006,2006,3110,1952,25,9,Winter,Medium,Unkown,225278.0,1,1,5,1,1
Jack the Bear,PG-13,Comedy,1993,"April 2, 1993 (United States)",6.5,3900.0,Marshall Herskovitz,Dan McCall,Danny DeVito,United States,0.0,5145823.0,Twentieth Century Fox,99.0,April,1,True,4,2251,1817,854,561,55,4,Winter,Medium,PG-13,5145823.0,1,5,5,1,1
Money for Nothing,R,Comedy,1993,"September 10, 1993 (United States)",5.7,3700.0,Ramón Menéndez,Mark Bowden,John Cusack,United States,11000000.0,1039824.0,Permut Presentations,100.0,September,0,False,4,1837,2265,2747,1287,55,9,Winter,Medium,R,-9960176.0,1,5,5,5,5
Naked in New York,R,Comedy,1993,"April 13, 1994 (United States)",5.6,1600.0,Daniel Algrant,Daniel Algrant,Eric Stoltz,United States,0.0,1038959.0,Some Film,95.0,April,1,True,4,2098,567,866,784,55,4,Winter,Medium,R,1038959.0,1,1,5,5,1
Son of the Pink Panther,PG,Comedy,1993,"August 27, 1993 (United States)",3.9,5000.0,Blake Edwards,Maurice Richlin,Roberto Benigni,Italy,25000000.0,2438031.0,Filmauro,93.0,August,0,False,4,1054,275,2872,2257,25,8,Winter,Medium,PG,-22561969.0,1,0,5,5,0
Jung on zo,R,Action,1993,"June 24, 1993 (Hong Kong)",6.8,6100.0,Kirk Wong,Tin Nam Chun,Jackie Chan,Hong Kong,0.0,3741869.0,Golden Harvest Company,103.0,June,1,True,0,1175,1627,4222,1051,17,6,Winter,Medium,R,3741869.0,1,5,5,5,1
Totally F***ed Up,Unrated,Comedy,1993,"January 13, 1995 (United Kingdom)",6.4,3000.0,Gregg Araki,Gregg Araki,James Duval,United States,0.0,101071.0,Blurco,78.0,January,1,True,4,439,1008,1541,1078,55,1,Winter,Short,Unkown,101071.0,1,1,5,1,1
"Bodies, Rest & Motion",R,Drama,1993,"April 9, 1993 (United States)",5.7,2200.0,Michael Steinberg,Roger Hedden,Phoebe Cates,United States,2500000.0,764724.0,Fine Line Features,95.0,April,0,False,6,1074,1939,3714,2139,55,4,Winter,Medium,R,-1735276.0,0,0,5,1,0
House of Cards,PG-13,Drama,1993,"June 25, 1993 (United States)",6.2,2600.0,Michael Lessac,Michael Lessac,Kathleen Turner,Italy,0.0,322871.0,A&M Films,109.0,June,1,True,6,51,1917,2973,1445,25,6,Winter,Medium,PG-13,322871.0,1,1,5,5,1
Bhaji on the Beach,R,Comedy,1993,May 1994 (United States),6.4,1100.0,Gurinder Chadha,Gurinder Chadha,Kim Vithana,United Kingdom,0.0,735162.0,Channel Four Films,101.0,May,1,True,4,625,1024,1560,1511,54,5,Winter,Medium,R,735162.0,5,1,5,1,5
Silent Tongue,PG-13,Drama,1993,"January 27, 1995 (United Kingdom)",5.3,1100.0,Sam Shepard,Sam Shepard,Alan Bates,France,0.0,61274.0,Belbo Films,102.0,January,1,True,6,377,2480,3823,40,14,1,Winter,Medium,PG-13,61274.0,1,1,5,1,1
Amos & Andrew,PG-13,Comedy,1993,"March 5, 1993 (United States)",5.7,8600.0,E. Max Frye,E. Max Frye,Nicolas Cage,United States,0.0,9745803.0,Castle Rock Entertainment,96.0,March,1,True,4,598,780,1190,1996,55,3,Winter,Medium,PG-13,9745803.0,1,5,5,5,1
Splitting Heirs,PG-13,Comedy,1993,"April 30, 1993 (United States)",5.5,4100.0,Robert Young,Eric Idle,Eric Idle,United Kingdom,0.0,3246063.0,Prominent Features,87.0,April,1,True,4,1895,2398,1292,782,54,4,Winter,Short,PG-13,3246063.0,1,0,5,1,1
Born Yesterday,PG,Comedy,1993,"March 26, 1993 (United States)",5.2,3700.0,Luis Mandoki,Garson Kanin,Melanie Griffith,United States,0.0,17952857.0,Hollywood Pictures,100.0,March,1,True,4,1276,1723,1417,1827,55,3,Winter,Medium,PG,17952857.0,5,5,5,5,1
Mother's Boys,R,Drama,1993,"March 18, 1994 (United States)",5.4,3000.0,Yves Simoneau,Bernard Taylor,Jamie Lee Curtis,United States,8000000.0,737548.0,Miramax,96.0,March,0,False,6,1655,2930,405,1106,55,3,Winter,Medium,R,-7262452.0,0,5,5,5,0
The Nutcracker,G,Family,1993,"November 24, 1993 (United States)",5.9,1900.0,Emile Ardolino,Susan Cooper,Darci Kistler,United States,19000000.0,2119994.0,Krasnow Productions,92.0,November,0,False,7,1441,803,4102,568,55,11,Winter,Medium,G,-16880006.0,5,0,5,0,0
Philadelphia Experiment II,PG-13,Action,1993,"June 4, 1994 (South Korea)",4.5,1900.0,Stephen Cornwell,Wallace C. Bennett,Brad Johnson,United States,5000000.0,2970.0,Trimark Pictures,97.0,June,0,False,0,2243,2600,4392,291,55,6,Winter,Medium,PG-13,-4997030.0,0,1,5,0,0
Blue,Not Rated,Biography,1993,"December 3, 1993 (United States)",7.3,2100.0,Derek Jarman,Derek Jarman,Derek Jarman,United Kingdom,0.0,0.0,Channel 4 Television Corporation,79.0,December,1,True,3,622,708,1096,641,54,12,Winter,Short,Unkown,0.0,1,0,5,0,1
Fear of a Black Hat,R,Comedy,1993,"June 3, 1994 (United States)",7.2,3900.0,Rusty Cundieff,Rusty Cundieff,Larry B. Scott,United States,999999.0,233824.0,Incorporated Television Company (ITC),88.0,June,0,False,4,1326,2454,3788,1560,55,6,Winter,Short,R,-766175.0,1,5,5,0,1
Ed and His Dead Mother,PG-13,Comedy,1993,"November 17, 1993 (United States)",6.0,1900.0,Jonathan Wacks,Chuck Hughes,Eric Christmas,United States,1800000.0,0.0,Incorporated Television Company (ITC),93.0,November,0,False,4,1326,1487,754,780,55,11,Winter,Medium,PG-13,-1800000.0,0,5,5,0,0
Boiling Point,R,Action,1993,"April 16, 1993 (United States)",5.0,5700.0,James B. Harris,Gerald Petievich,Wesley Snipes,United States,9000000.0,10058318.0,StudioCanal,92.0,April,0,False,0,2140,1149,1489,2747,55,4,Winter,Medium,R,1058318.0,1,5,5,5,1
A Dangerous Woman,R,Drama,1993,"December 3, 1993 (United States)",5.8,1600.0,Stephen Gyllenhaal,Mary McGarry Morris,Debra Winger,United States,0.0,1497222.0,Island World,102.0,December,1,True,6,1359,2606,2829,621,55,12,Winter,Medium,R,1497222.0,0,1,5,0,1
Josh and S.A.M.,PG-13,Adventure,1993,"November 24, 1993 (United States)",5.7,1400.0,Billy Weber,Frank Deese,Jacob Tierney,United States,18000000.0,1640220.0,Castle Rock Entertainment,96.0,November,0,False,1,598,271,1378,1055,55,11,Winter,Medium,PG-13,-16359780.0,0,5,5,0,0
Ethan Frome,PG,Drama,1993,"March 12, 1993 (United States)",6.2,2000.0,John Madden,Richard Nelson,Liam Neeson,United Kingdom,0.0,296081.0,American Playhouse,99.0,March,1,True,6,176,1418,3550,1607,54,3,Winter,Medium,PG,296081.0,5,1,5,5,1
The Night We Never Met,R,Comedy,1993,"April 30, 1993 (United States)",6.0,2400.0,Warren Leight,Warren Leight,Matthew Broderick,United States,8000000.0,1884814.0,Miramax,99.0,April,0,False,4,1655,2866,4408,1796,55,4,Winter,Medium,R,-6115186.0,0,5,5,5,0
The Shawshank Redemption,R,Drama,1994,"October 14, 1994 (United States)",9.3,2400000.0,Frank Darabont,Stephen King,Tim Robbins,United States,25000000.0,28817291.0,Castle Rock Entertainment,142.0,October,0,False,6,598,872,4013,2615,55,10,Winter,Long,R,3817291.0,5,5,5,0,5
Pulp Fiction,R,Crime,1994,"October 14, 1994 (United States)",8.9,1900000.0,Quentin Tarantino,Quentin Tarantino,John Travolta,United States,8000000.0,213928762.0,Miramax,154.0,October,1,True,5,1655,2247,3450,1318,55,10,Winter,Long,R,205928762.0,5,5,5,5,5
Forrest Gump,PG-13,Drama,1994,"July 6, 1994 (United States)",8.8,1900000.0,Robert Zemeckis,Winston Groom,Tom Hanks,United States,55000000.0,678226133.0,Paramount Pictures,142.0,July,1,True,6,1810,2399,4491,2638,55,7,Winter,Long,PG-13,623226133.0,5,5,5,5,5
Léon: The Professional,R,Action,1994,"November 18, 1994 (United States)",8.5,1100000.0,Luc Besson,Luc Besson,Jean Reno,France,0.0,19552639.0,Gaumont,110.0,November,1,True,0,1145,1713,2656,1154,14,11,Winter,Medium,R,19552639.0,5,0,5,5,5
True Lies,R,Action,1994,"July 15, 1994 (United States)",7.2,243000.0,James Cameron,Claude Zidi,Arnold Schwarzenegger,United States,115000000.0,378882411.0,Twentieth Century Fox,141.0,July,1,True,0,2251,1155,774,179,55,7,Winter,Long,R,263882411.0,5,5,5,5,5
The Lion King,G,Animation,1994,"June 24, 1994 (United States)",8.5,970000.0,Roger Allers,Irene Mecchi,Matthew Broderick,United States,45000000.0,1083720877.0,Walt Disney Pictures,88.0,June,1,True,2,2315,2414,1702,1796,55,6,Winter,Short,G,1038720877.0,5,5,5,5,5
The Mask,PG-13,Action,1994,"July 29, 1994 (United States)",6.9,357000.0,Chuck Russell,Michael Fallon,Jim Carrey,United States,23000000.0,351583407.0,New Line Cinema,101.0,July,1,True,0,1711,488,2941,1235,55,7,Winter,Medium,PG-13,328583407.0,5,5,5,5,5
Speed,R,Action,1994,"June 10, 1994 (United States)",7.2,339000.0,Jan de Bont,Graham Yost,Keanu Reeves,United States,30000000.0,350448145.0,The Mark Gordon Company,116.0,June,1,True,0,2189,1201,1527,1459,55,6,Winter,Medium,R,320448145.0,5,5,5,5,5
Stargate,PG-13,Action,1994,"October 28, 1994 (United States)",7.1,180000.0,Roland Emmerich,Dean Devlin,Kurt Russell,United States,55000000.0,196567262.0,Canal+,116.0,October,1,True,0,558,2425,1053,1542,55,10,Winter,Medium,PG-13,141567262.0,5,5,5,5,5
The Little Rascals,PG,Comedy,1994,"August 5, 1994 (United States)",6.3,45000.0,Penelope Spheeris,Penelope Spheeris,Travis Tedford,United States,23000000.0,67308282.0,Universal Pictures,82.0,August,1,True,4,2279,2161,3342,2677,55,8,Winter,Short,PG,44308282.0,5,5,5,1,1
Dumb and Dumber,PG-13,Comedy,1994,"December 16, 1994 (United States)",7.3,361000.0,Peter Farrelly,Peter Farrelly,Jim Carrey,United States,17000000.0,247275374.0,New Line Cinema,107.0,December,1,True,4,1711,2181,3368,1235,55,12,Winter,Medium,PG-13,230275374.0,5,5,5,5,5
Legends of the Fall,R,Drama,1994,"January 13, 1995 (United States)",7.5,154000.0,Edward Zwick,Susan Shilliday,Brad Pitt,United States,30000000.0,160638883.0,TriStar Pictures,133.0,January,1,True,6,2240,791,4111,292,55,1,Winter,Long,R,130638883.0,5,5,5,5,5
Natural Born Killers,R,Action,1994,"August 26, 1994 (United States)",7.3,222000.0,Oliver Stone,Quentin Tarantino,Woody Harrelson,United States,34000000.0,50283563.0,Warner Bros.,118.0,August,0,False,0,2318,2077,3450,2778,55,8,Winter,Medium,R,16283563.0,5,5,5,1,5
The Crow,R,Action,1994,"May 13, 1994 (United States)",7.6,170000.0,Alex Proyas,James O'Barr,Brandon Lee,United States,23000000.0,50693129.0,Crowvision Inc.,102.0,May,1,True,0,778,71,1818,298,55,5,Winter,Medium,R,27693129.0,5,1,5,1,1
Interview with the Vampire: the Vampire Chronicles,R,Drama,1994,"November 11, 1994 (United States)",7.5,301000.0,Neil Jordan,Anne Rice,Brad Pitt,United States,60000000.0,223664608.0,Geffen Pictures,123.0,November,1,True,6,1150,2016,271,292,55,11,Winter,Long,R,163664608.0,5,5,5,5,5
Four Weddings and a Funeral,R,Comedy,1994,"April 15, 1994 (United States)",7.1,144000.0,Mike Newell,Richard Curtis,Hugh Grant,United Kingdom,4400000.0,245700832.0,PolyGram Filmed Entertainment,117.0,April,1,True,4,1867,1977,3530,1010,54,4,Winter,Medium,R,241300832.0,5,5,5,5,5
The Flintstones,PG,Comedy,1994,"May 27, 1994 (United States)",4.9,77000.0,Brian Levant,Tom S. Parker,John Goodman,United States,46000000.0,341631208.0,Universal Pictures,91.0,May,1,True,4,2279,327,4286,1295,55,5,Winter,Medium,PG,295631208.0,5,5,5,5,5
Ace Ventura: Pet Detective,PG-13,Comedy,1994,"February 4, 1994 (United States)",6.9,284000.0,Tom Shadyac,Jack Bernstein,Jim Carrey,United States,15000000.0,107217396.0,Morgan Creek Entertainment,86.0,February,1,True,4,1668,2795,1748,1235,55,2,Winter,Short,PG-13,92217396.0,5,5,5,5,5
Little Women,PG,Drama,1994,"December 25, 1994 (United States)",7.3,54000.0,Gillian Armstrong,Louisa May Alcott,Susan Sarandon,United States,18000000.0,50083616.0,Columbia Pictures,115.0,December,1,True,6,730,983,2647,2529,55,12,Winter,Medium,PG,32083616.0,1,5,5,5,1
Street Fighter,PG-13,Action,1994,"December 23, 1994 (United States)",4.0,67000.0,Steven E. de Souza,Steven E. de Souza,Jean-Claude Van Damme,Japan,35000000.0,99431786.0,Capcom Entertainment,102.0,December,1,True,0,575,2647,4063,1156,27,12,Winter,Medium,PG-13,64431786.0,5,5,5,5,5
Chungking Express,PG-13,Comedy,1994,"March 8, 1996 (United States)",8.1,69000.0,Kar-Wai Wong,Kar-Wai Wong,Brigitte Lin,Hong Kong,0.0,1432358.0,Jet Tone Production,102.0,March,1,True,4,1386,1557,2373,320,17,3,Winter,Medium,PG-13,1432358.0,5,1,5,1,5
Clear and Present Danger,PG-13,Action,1994,"August 3, 1994 (United States)",6.9,93000.0,Phillip Noyce,Tom Clancy,Harrison Ford,United States,62000000.0,215887717.0,Mace Neufeld Productions,141.0,August,1,True,0,1569,2234,4258,959,55,8,Winter,Long,PG-13,153887717.0,5,5,5,5,5
D2: The Mighty Ducks,PG,Comedy,1994,"March 25, 1994 (United States)",6.1,38000.0,Sam Weisman,Steven Brill,Emilio Estevez,United States,0.0,45610410.0,Avnet/Kerner Productions,106.0,March,1,True,4,296,2482,4062,756,55,3,Winter,Medium,PG,45610410.0,5,5,5,5,5
Heavenly Creatures,R,Biography,1994,"October 14, 1994 (New Zealand)",7.3,60000.0,Peter Jackson,Fran Walsh,Melanie Lynskey,New Zealand,5000000.0,3049135.0,WingNut Films,99.0,October,0,False,3,2344,2192,1359,1829,34,10,Winter,Medium,R,-1950865.0,5,0,5,0,5
Clerks,R,Comedy,1994,"November 9, 1994 (France)",7.7,214000.0,Kevin Smith,Kevin Smith,Brian O'Halloran,United States,27000.0,3151130.0,View Askew Productions,92.0,November,1,True,4,2298,1612,2467,316,55,11,Winter,Medium,R,3124130.0,5,1,5,1,5
Camp Nowhere,PG,Adventure,1994,"August 26, 1994 (United States)",6.1,9100.0,Jonathan Prince,Andrew Kurtzman,Jonathan Jackson,United States,0.0,10475705.0,Hollywood Pictures,96.0,August,1,True,1,1276,1483,208,1339,55,8,Winter,Medium,PG,10475705.0,1,5,5,1,1
Maverick,PG,Action,1994,"May 20, 1994 (United States)",7.0,104000.0,Richard Donner,Roy Huggins,Mel Gibson,United States,75000000.0,183031272.0,Donner/Shuler-Donner Productions,127.0,May,1,True,0,874,2293,3771,1825,55,5,Winter,Long,PG,108031272.0,5,5,5,5,5
Wyatt Earp,PG-13,Adventure,1994,"June 24, 1994 (United States)",6.7,47000.0,Lawrence Kasdan,Dan Gordon,Kevin Costner,United States,63000000.0,25052000.0,Warner Bros.,191.0,June,0,False,1,2318,1667,845,1494,55,6,Winter,Long,PG-13,-37948000.0,5,5,5,5,0
The Last Seduction,R,Crime,1994,"October 26, 1994 (United States)",7.1,22000.0,John Dahl,Steve Barancik,Linda Fiorentino,United Kingdom,2500000.0,5842603.0,Incorporated Television Company (ITC),110.0,October,1,True,5,1326,1380,4035,1622,54,10,Winter,Medium,R,3342603.0,0,5,5,1,1
"The Adventures of Priscilla, Queen of the Desert",R,Comedy,1994,"August 10, 1994 (United States)",7.5,48000.0,Stephan Elliott,Stephan Elliott,Hugo Weaving,Australia,0.0,11265402.0,PolyGram Filmed Entertainment,104.0,August,1,True,4,1867,2595,3995,1013,2,8,Winter,Medium,R,11265402.0,1,5,5,5,1
Little Giants,PG,Comedy,1994,"October 14, 1994 (United States)",6.4,27000.0,Duwayne Dunham,James Ferguson,Rick Moranis,United States,20000000.0,19306362.0,Warner Bros.,107.0,October,0,False,4,2318,775,1790,2220,55,10,Winter,Medium,PG,-693638.0,1,5,5,5,0
Ed Wood,R,Biography,1994,"October 7, 1994 (United States)",7.8,168000.0,Tim Burton,Rudolph Grey,Johnny Depp,United States,18000000.0,5887457.0,Touchstone Pictures,127.0,October,0,False,3,2230,2744,3775,1321,55,10,Winter,Long,R,-12112543.0,5,5,5,5,0
Star Trek: Generations,PG,Action,1994,"November 18, 1994 (United States)",6.6,78000.0,David Carson,Gene Roddenberry,Patrick Stewart,United States,35000000.0,118071125.0,Paramount Pictures,118.0,November,1,True,0,1810,610,1445,2071,55,11,Winter,Medium,PG,83071125.0,5,5,5,5,5
Disclosure,R,Drama,1994,"December 9, 1994 (United States)",6.1,48000.0,Barry Levinson,Michael Crichton,Michael Douglas,United States,55000000.0,214015089.0,Warner Bros.,128.0,December,1,True,6,2318,211,2930,1855,55,12,Winter,Long,R,159015089.0,5,5,5,5,5
Angels in the Outfield,PG,Comedy,1994,"July 15, 1994 (United States)",6.2,30000.0,William Dear,Dorothy Kingsley,Danny Glover,United States,24000000.0,50236831.0,Caravan Pictures,102.0,July,1,True,4,584,2888,1153,564,55,7,Winter,Medium,PG,26236831.0,5,5,5,5,1
In the Mouth of Madness,R,Drama,1994,"February 3, 1995 (United States)",7.2,64000.0,John Carpenter,Michael De Luca,Sam Neill,United States,8000000.0,8924549.0,New Line Cinema,95.0,February,0,False,6,1711,1374,2935,2327,55,2,Winter,Medium,R,924549.0,0,5,5,5,1
Richie Rich,PG,Comedy,1994,"December 21, 1994 (United States)",5.4,66000.0,Donald Petrie,Neil Tolkin,Macaulay Culkin,United States,40000000.0,38087756.0,Warner Bros.,95.0,December,0,False,4,2318,746,3136,1695,55,12,Winter,Medium,PG,-1912244.0,5,5,5,5,1
Beverly Hills Cop III,R,Action,1994,"May 25, 1994 (United States)",5.6,78000.0,John Landis,Danilo Bach,Eddie Murphy,United States,50000000.0,119208989.0,Paramount Pictures,104.0,May,1,True,0,1810,1412,897,710,55,5,Winter,Medium,R,69208989.0,5,5,5,5,5
Reality Bites,PG-13,Comedy,1994,"February 18, 1994 (United States)",6.6,47000.0,Ben Stiller,Helen Childress,Winona Ryder,United States,11500000.0,33351557.0,Jersey Films,99.0,February,1,True,4,1385,226,1622,2774,55,2,Winter,Medium,PG-13,21851557.0,5,1,5,5,1
Naked Gun 33 1/3: the Final Insult,PG-13,Comedy,1994,"March 18, 1994 (United States)",6.5,100000.0,Peter Segal,Pat Proft,Leslie Nielsen,United States,30000000.0,51132598.0,Paramount Pictures,83.0,March,0,False,4,1810,2207,3254,1600,55,3,Winter,Short,PG-13,21132598.0,5,5,5,5,1
Sirens,R,Comedy,1994,"March 25, 1994 (United States)",5.9,10000.0,John Duigan,John Duigan,Hugh Grant,Australia,0.0,7770731.0,British Screen Finance Ltd.,98.0,March,1,True,4,482,1382,2118,1010,2,3,Winter,Medium,R,7770731.0,1,1,5,5,1
Three Colors: Red,R,Drama,1994,"November 23, 1994 (United States)",8.1,94000.0,Krzysztof Kieslowski,Krzysztof Kieslowski,Irène Jacob,Switzerland,0.0,3581969.0,MK2 Productions,99.0,November,1,True,6,1560,1636,2494,1032,49,11,Winter,Medium,R,3581969.0,1,1,5,1,1
Junior,PG-13,Comedy,1994,"November 23, 1994 (United States)",4.6,66000.0,Ivan Reitman,Kevin Wade,Arnold Schwarzenegger,United States,60000000.0,108431355.0,Universal Pictures,109.0,November,0,False,4,2279,1117,2470,179,55,11,Winter,Medium,PG-13,48431355.0,5,5,5,5,5
New Nightmare,R,Fantasy,1994,"October 14, 1994 (United States)",6.5,53000.0,Wes Craven,Wes Craven,Heather Langenkamp,United States,8000000.0,19721741.0,New Line Cinema,112.0,October,1,True,8,1711,2874,4422,972,55,10,Winter,Medium,R,11721741.0,5,5,5,5,5
Baby's Day Out,PG,Adventure,1994,"July 1, 1994 (United States)",6.2,48000.0,Patrick Read Johnson,John Hughes,Lara Flynn Boyle,United States,48000000.0,16827402.0,Twentieth Century Fox,99.0,July,0,False,1,2251,2118,2142,1557,55,7,Winter,Medium,PG,-31172598.0,0,5,5,0,5
The River Wild,PG-13,Adventure,1994,"September 30, 1994 (United States)",6.4,43000.0,Curtis Hanson,Denis O'Neill,Meryl Streep,United States,45000000.0,94216343.0,Universal Pictures,111.0,September,1,True,1,2279,536,1075,1839,55,9,Winter,Medium,PG-13,49216343.0,5,5,5,5,1
Airheads,PG-13,Comedy,1994,"August 5, 1994 (United States)",6.1,47000.0,Michael Lehmann,Rich Wilkes,Brendan Fraser,United States,0.0,5751882.0,Twentieth Century Fox,92.0,August,1,True,4,2251,1915,3521,304,55,8,Winter,Medium,PG-13,5751882.0,5,5,5,5,5
Texas Chainsaw Massacre: The Next Generation,R,Comedy,1994,"January 1, 1994 (Germany)",3.3,21000.0,Kim Henkel,Kim Henkel,Renée Zellweger,United States,600000.0,185898.0,Ultra Muchos Productions,87.0,January,0,False,4,2266,1619,2477,2195,55,1,Winter,Short,R,-414102.0,0,0,5,5,5
